"","Cell","startDate","numerator","denominator"
"1","fluxes_vic_cropsyst_45.21875_-121.71875",1986-10-01,44580.3921819868,101105.4324
"2","fluxes_vic_cropsyst_45.21875_-121.78125",1986-10-01,46792.8104388697,111048.5227
"3","fluxes_vic_cropsyst_45.21875_-121.84375",1986-10-01,40794.8085699063,107630.9071
"4","fluxes_vic_cropsyst_45.21875_-121.90625",1986-10-01,35580.9001581913,120254.275
"5","fluxes_vic_cropsyst_45.21875_-121.96875",1986-10-01,32013.3816071768,98945.0599
"6","fluxes_vic_cropsyst_45.28125_-121.71875",1986-10-01,60312.0886203222,133992.9484
"7","fluxes_vic_cropsyst_45.28125_-121.78125",1986-10-01,52805.4776048606,127536.993
"8","fluxes_vic_cropsyst_45.28125_-121.84375",1986-10-01,46354.7105865838,124205.9466
"9","fluxes_vic_cropsyst_45.28125_-121.90625",1986-10-01,38921.5819080846,135943.205
"10","fluxes_vic_cropsyst_45.28125_-121.96875",1986-10-01,26529.0947887804,121800.3224
"11","fluxes_vic_cropsyst_45.34375_-121.09375",1986-10-01,1957.57464713931,11795.9879
"12","fluxes_vic_cropsyst_45.34375_-121.15625",1986-10-01,2503.30387690705,13896.273
"13","fluxes_vic_cropsyst_45.34375_-121.28125",1986-10-01,1647.5890514984,8935.5162
"14","fluxes_vic_cropsyst_45.34375_-121.46875",1986-10-01,16058.7488040271,42218.2403
"15","fluxes_vic_cropsyst_45.34375_-121.53125",1986-10-01,47454.1751336936,100282.9673
"16","fluxes_vic_cropsyst_45.34375_-121.59375",1986-10-01,60669.9214197663,134823.5053
"17","fluxes_vic_cropsyst_45.34375_-121.65625",1986-10-01,98625.0032854866,179700.214
"18","fluxes_vic_cropsyst_45.34375_-121.71875",1986-10-01,90708.1451685978,169366.6594
"19","fluxes_vic_cropsyst_45.34375_-121.78125",1986-10-01,67524.3564878695,135666.8833
"20","fluxes_vic_cropsyst_45.34375_-121.84375",1986-10-01,61715.650805138,139569.1758
"21","fluxes_vic_cropsyst_45.34375_-121.90625",1986-10-01,41109.2748662462,142186.532
"22","fluxes_vic_cropsyst_45.34375_-121.96875",1986-10-01,20343.0530425191,119900.6512
"23","fluxes_vic_cropsyst_45.34375_-122.03125",1986-10-01,22504.0218240744,140522.5953
"24","fluxes_vic_cropsyst_45.34375_-122.09375",1986-10-01,17831.2764790083,143566.6405
"25","fluxes_vic_cropsyst_45.34375_-122.84375",1986-10-01,915.407333468366,57364.1935
"26","fluxes_vic_cropsyst_45.34375_-122.90625",1986-10-01,1488.07585007473,59418.9543
"27","fluxes_vic_cropsyst_45.40625_-121.03125",1986-10-01,2958.36224213026,14337.7643
"28","fluxes_vic_cropsyst_45.40625_-121.09375",1986-10-01,2351.27141797929,12117.6194
"29","fluxes_vic_cropsyst_45.40625_-121.15625",1986-10-01,2211.41113623453,13345.3639
"30","fluxes_vic_cropsyst_45.40625_-121.21875",1986-10-01,1394.1910631454,8128.8263
"31","fluxes_vic_cropsyst_45.40625_-121.28125",1986-10-01,1679.96431404214,9062.0041
"32","fluxes_vic_cropsyst_45.40625_-121.34375",1986-10-01,2148.43218332166,9871.0262
"33","fluxes_vic_cropsyst_45.40625_-121.40625",1986-10-01,5307.06517701064,18575.2151
"34","fluxes_vic_cropsyst_45.40625_-121.46875",1986-10-01,11755.333579216,35095.2923
"35","fluxes_vic_cropsyst_45.40625_-121.53125",1986-10-01,32063.1995518841,80243.4462
"36","fluxes_vic_cropsyst_45.40625_-121.59375",1986-10-01,36742.74291226,101616.6653
"37","fluxes_vic_cropsyst_45.40625_-121.65625",1986-10-01,84513.169538794,178708.5038
"38","fluxes_vic_cropsyst_45.40625_-121.71875",1986-10-01,78385.9259395896,171213.6838
"39","fluxes_vic_cropsyst_45.40625_-121.78125",1986-10-01,57909.6168367637,166023.2973
